sample,channel,xsection,unitPerJob,runRange,dataset,comments
ttHJetToNonbb,ttH,,80000,,/ttHJetToNonbb_M125_TuneCP5_13TeV_amcatnloFXFX_madspin_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ttHToNonbb,ttH,,80000,,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTW,TTW,,130000,,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTW_psw,TTW,,130000,,/TTWJetsToLNu_TuneCP5_PSweights_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTZ,TTZ,,80000,,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTZ_M1to10,TTZ,,80000,,/TTZToLL_M-1to10_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTGJets,TTZ,,100000,,/TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
WZ,EWK,,160000,,/WZ_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ZZ,EWK,,200000,,/ZZTo4L_13TeV_powheg_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ZZ_ext,EWK,,200000,,/ZZTo4L_13TeV_powheg_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,
WW,EWK,,100000,,/WWTo2L2Nu_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,
WJets,EWK,,500000,,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,NEED UPDATE
WG,EWK,,300000,,,NEED UPDATE
ZG,EWK,,300000,,,NEED UPDATE
WWW,Rare,,16000,,/WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
WWZ,Rare,,16000,,/WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
WZZ,Rare,,16000,,/WZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ZZZ,Rare,,16000,,/ZZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTWW,Rare,,100000,,/TTWW_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,
TTTT,Rare,,50000,,/TTTT_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_pilot_94X_mc2017_realistic_v14-v1/MINIAODSIM,
tZq,Rare,,170000,,/tZq_ll_4f_ckm_NLO_TuneCP5_PSweights_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
WWds,Rare,,100000,,/WWTo2L2Nu_DoubleScattering_13TeV-herwigpp/RunIIFall17MiniAODv2-94X_mc2017_realistic_v14-v1/MINIAODSIM,
#,,,,,/WW_DoubleScattering_13TeV-pythia8_TuneCP5/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTToDiLep,TT,,100000,,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTToDiLep_psw,TT,,100000,,/TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTToSemiLep,TT,,100000,,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,NEED UPDATE
TTToSemiLep_psw,TT,,100000,,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTToHad,TT,,100000,,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTToHad_psw,TT,,100000,,/TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_sLep,TT,,100000,,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_sLep_psw,TT,,100000,,/ST_s-channel_4f_leptonDecays_TuneCP5_PSweights_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tT,TT,,100000,,/ST_t-channel_top_4f_inclusiveDecays_TuneCP5_13TeV-powhegV2-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tTbar,TT,,100000,,/ST_t-channel_antitop_4f_inclusiveDecays_TuneCP5_13TeV-powhegV2-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tWT,TT,,100000,,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tWT_psw,TT,,100000,,/ST_tW_top_5f_inclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tWTbar,TT,,100000,,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
ST_tWTbar_psw,TT,,100000,,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTJets,TT,,100000,,/TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
TTJets_LepT,TT,,100000,,/TTJets_SingleLeptFromT_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
DYJets_M50,DY,,200000,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017RECOSIMstep_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,
DYJets_M50_ext,DY,,200000,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017RECOSIMstep_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,
DYJets_M10to50,DY,,300000,,/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAOD-PU2017_94X_mc2017_realistic_v11-v1/MINIAODSIM,NEED UPDATE
data_e_2017b,Data,,100,297046-299329,/SingleElectron/Run2017B-31Mar2018-v1/MINIAOD,
data_e_2017c,Data,,100,299368-302029,/SingleElectron/Run2017C-31Mar2018-v1/MINIAOD,
data_e_2017d,Data,,100,302030-303434,/SingleElectron/Run2017D-31Mar2018-v1/MINIAOD,
data_e_2017e,Data,,100,303824-304797,/SingleElectron/Run2017E-31Mar2018-v1/MINIAOD,
data_e_2017f,Data,,100,305040-306462,/SingleElectron/Run2017F-31Mar2018-v1/MINIAOD,
data_mu_2017b,Data,,100,297046-299329,/SingleMuon/Run2017B-31Mar2018-v1/MINIAOD,
data_mu_2017c,Data,,100,299368-302029,/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD,
data_mu_2017d,Data,,100,302030-303434,/SingleMuon/Run2017D-31Mar2018-v1/MINIAOD,
data_mu_2017e,Data,,100,303824-304797,/SingleMuon/Run2017E-31Mar2018-v1/MINIAOD,
data_mu_2017f,Data,,100,305040-306462,/SingleMuon/Run2017F-31Mar2018-v1/MINIAOD,
data_dieg_2017b,Data,,100,297046-299329,/DoubleEG/Run2017B-31Mar2018-v1/MINIAOD,
data_dieg_2017c,Data,,100,299368-302029,/DoubleEG/Run2017C-31Mar2018-v1/MINIAOD,
data_dieg_2017d,Data,,100,302030-303434,/DoubleEG/Run2017D-31Mar2018-v1/MINIAOD,
data_dieg_2017e,Data,,100,303824-304797,/DoubleEG/Run2017E-31Mar2018-v1/MINIAOD,
data_dieg_2017f,Data,,100,305040-306462,/DoubleEG/Run2017F-31Mar2018-v1/MINIAOD,
data_dimu_2017b,Data,,100,297046-299329,/DoubleMuon/Run2017B-31Mar2018-v1/MINIAOD,
data_dimu_2017c,Data,,100,299368-302029,/DoubleMuon/Run2017C-31Mar2018-v1/MINIAOD,
data_dimu_2017d,Data,,100,302030-303434,/DoubleMuon/Run2017D-31Mar2018-v1/MINIAOD,
data_dimu_2017e,Data,,100,303824-304797,/DoubleMuon/Run2017E-31Mar2018-v1/MINIAOD,
data_dimu_2017f,Data,,100,305040-306462,/DoubleMuon/Run2017F-31Mar2018-v1/MINIAOD,
data_mueg_2017b,Data,,100,297046-299329,/MuonEG/Run2017B-31Mar2018-v1/MINIAOD,
data_mueg_2017c,Data,,100,299368-302029,/MuonEG/Run2017C-31Mar2018-v1/MINIAOD,
data_mueg_2017d,Data,,100,302030-303434,/MuonEG/Run2017D-31Mar2018-v1/MINIAOD,
data_mueg_2017e,Data,,100,303824-304797,/MuonEG/Run2017E-31Mar2018-v1/MINIAOD,
data_mueg_2017f,Data,,100,305040-306462,/MuonEG/Run2017F-31Mar2018-v1/MINIAOD,